X,Y,OBJECTID,TYPE,OWNED_BY,DESCR,ADDRESS,CAPACITY,longitude,latitude,CreationDate,Creator,EditDate,Editor
-80.564828816999977,43.495851003000013,92,GROUND RACK,Private,Northlake Woods Public School,98 NORTHLAKE DR,10,-80.5648288173001,43.4958510027664,2015-09-23T12:11:09.171Z,OpenData_Waterloo,2015-09-23T12:11:09.171Z,OpenData_Waterloo
-80.56479393799998,43.495861466,93,GROUND RACK,Private,Northlake Woods Public School,98 NORTHLAKE DR,10,-80.5647939381916,43.4958614662676,2015-09-23T12:11:09.171Z,OpenData_Waterloo,2015-09-23T12:11:09.171Z,OpenData_Waterloo
-80.559923321999975,43.445166521,94,GROUND RACK,Private,Westvale Public School,265 WESTVALE DR,10,-80.5599233217005,43.4451665207039,2015-09-23T12:11:09.171Z,OpenData_Waterloo,2015-09-23T12:11:09.171Z,OpenData_Waterloo
-80.5598622699999,43.445169803000027,95,GROUND RACK,Private,Westvale Public School,265 WESTVALE DR,10,-80.5598622703796,43.4451698028432,2015-09-23T12:11:09.171Z,OpenData_Waterloo,2015-09-23T12:11:09.171Z,OpenData_Waterloo
-80.559920456999976,43.44513360000002,96,GROUND RACK,Private,Westvale Public School,265 WESTVALE DR,10,-80.5599204571908,43.4451336004998,2015-09-23T12:11:09.171Z,OpenData_Waterloo,2015-09-23T12:11:09.171Z,OpenData_Waterloo
-80.55991587799997,43.445099418000012,97,GROUND RACK,Private,Westvale Public School,265 WESTVALE DR,10,-80.5599158778633,43.445099417586,2015-09-23T12:11:09.171Z,OpenData_Waterloo,2015-09-23T12:11:09.171Z,OpenData_Waterloo
-80.530662283999959,43.479110078000019,98,GROUND RACK,Private,Waterloo Public School,300 HAZEL ST,10,-80.5306622839879,43.4791100783458,2015-09-23T12:11:09.171Z,OpenData_Waterloo,2015-09-23T12:11:09.171Z,OpenData_Waterloo
-80.530684357999974,43.47913730800002,99,GROUND RACK,Private,Waterloo Public School,300 HAZEL ST,10,-80.530684357731,43.4791373079585,2015-09-23T12:11:09.171Z,OpenData_Waterloo,2015-09-23T12:11:09.171Z,OpenData_Waterloo
-80.559855508999988,43.445103707000015,100,GROUND RACK,Private,Westvale Public School,265 WESTVALE DR,10,-80.5598555088945,43.4451037072358,2015-09-23T12:11:09.171Z,OpenData_Waterloo,2015-09-23T12:11:09.171Z,OpenData_Waterloo
-80.559859737999943,43.445138642000018,101,GROUND RACK,Private,Westvale Public School,265 WESTVALE DR,10,-80.5598597379386,43.4451386424697,2015-09-23T12:11:09.171Z,OpenData_Waterloo,2015-09-23T12:11:09.171Z,OpenData_Waterloo
-80.559894061999955,43.445159876000019,102,GROUND RACK,Private,Westvale Public School,265 WESTVALE DR,10,-80.5598940622735,43.4451598763253,2015-09-23T12:11:09.171Z,OpenData_Waterloo,2015-09-23T12:11:09.171Z,OpenData_Waterloo
-80.559889548999934,43.445116651,103,GROUND RACK,Private,Westvale Public School,265 WESTVALE DR,10,-80.5598895485176,43.4451166505718,2015-09-23T12:11:09.171Z,OpenData_Waterloo,2015-09-23T12:11:09.171Z,OpenData_Waterloo
-80.53436744399994,43.486099655,104,GROUND RACK,Private,Winston Churchill Public School,100 MILFORD AVE,10,-80.5343674438651,43.486099654785,2015-09-23T12:11:09.171Z,OpenData_Waterloo,2015-09-23T12:11:09.171Z,OpenData_Waterloo
-80.534379204999937,43.48611702300002,105,GROUND RACK,Private,Winston Churchill Public School,100 MILFORD AVE,10,-80.534379204645,43.4861170233605,2015-09-23T12:11:09.171Z,OpenData_Waterloo,2015-09-23T12:11:09.171Z,OpenData_Waterloo
-80.534388191999938,43.48613106900001,106,GROUND RACK,Private,Winston Churchill Public School,100 MILFORD AVE,10,-80.5343881923944,43.486131068859,2015-09-23T12:11:09.171Z,OpenData_Waterloo,2015-09-23T12:11:09.171Z,OpenData_Waterloo
